TASK,NAME,EMAIL,STATUS,CREATED_AT,UPDATED_AT,DELETED_AT,FILED1,FILED2
"Eldon Base for stackable storage shelf, platinum","Muhammed MacIntyre",3,-213.25,38.94,35,Nunavut,DR1pBdTdn9mdlh68T3aZLKeeZAXqOGqko8AlrYBTDDpvZxkW+o+azvTGtVfMBIHOmlsfhU+MDL8ULv2onIUrArg9CekgU9TyHn6dGEFAUv4KPEO9k2Mg+a8O5cu2yHZtXYEaS7tlRaJdDwdUsRf2Sga/jeXeMS1T5fwGyfgO5YKZdyhLy8jqfS/z3YM0691ExRPW4l3k2ZZDmJY0c2pZjvN/mShTV9V6VNlFmpm+kTaDpUclT9rvjtStVXcwZRZy5l1s8SQZtdt9dbLZR9TuaovfmjiuA955c8e5qInXqqigGGfQptysTxaml45B4LkTWu0XLv/XUJGCxlK+avvs6XT10yfpmTZtWa8XbtkXMIkMo+ZS8alQB4UjgB8yJhV2VVv0Ej9QJFp/Nzga9HioHDgiAasxF1cVAHntHuvUbIv7ew7SMY3PTyVDIP9401gQr1Yj9J8ESmYaExKET5Ih3tgh/cAOONcHUIovYk7dnSVSHF822iroqXXjzJxq4ziPTwaGzWpI31K0q3cnVZTDxzvDICl/4Z8+vTEAI8EHFVV9UO4IRFq1L0kDKS2fYFE6T0/okihjZscQ193ENjrQ/8KyIV3LTWCdCXdTMmncmlrOVeM299/WRDwXvJzuwNKhNP4w2tPqDsZuqxq3AoQQE9YuVdX6S+bJpotu7wX4XsM=,d8qIlLe/YzhhDYsYe3NzFoqAWSVNSdlNklzrfsmO7LuDZHiOskdd0tTTXxcB5jgWu4LXArgFFy7mcs6IdwJuOKhtHGB/FONJVMhRvggNi/dy8+lBoXrwKBbWcqDCebWg+fhXYnTtg0bVmdKno0n9y8+gWd+IbCA4DmGVUJMQBpvuSGMtiLlD1Lx10b4UOYLW97VEHMdzw+69xErhXDyl1fiwOx1RyvXzWtZuLTCq0/sVgfoP6XH+a4zvxOmaQ3860bZGI6T+q63u+0STrGzGGyioPKv2/qDcfIEh8bbl3RjLGg42W0/W71z2EG1PwofbOuNNpBtwMn3UIHFpf7e1bunshbS9up67gnxN7scOCHzlFVgEFQZStgdQfqmAM4QNSsIyVHFjeBdRs2IkzA+TpQlZZPjD/nOyguF8ew2av8MnQx3TJmefPZ+2j5YcP67Z+kaeMWh1dDk7nh4F/39vloxER/voA1h9M7hvkHXbR7Sx5fOn72CaQ1J5sprTVs0tZlfWeqLmxa0KNIt5tSgw8Lm8tkKs5ScLdJCDJseJz+IJrHcbD2XSxv5OnM78IRdzfyoRT2hWXL4Il8iASNANvoUdZYxiLkAMxMEbLGISMMgPd7DhenIKcDnGuxpKIAfVPJxohBG6ceiDY9vn8s4S01aBa7p02nIkEyFwkYs3ipw=
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Barry French",293,457.81,208.16,68.02,Nunavut,wb5wRgJ82okIctC68PJ0DMbytTMVk4w0pyxykQWY7dwC47G7LMo2LFHCEqnuwQyCbCdyri8VHbtvUstHnb2Av6UhjvoOse9j/TTpdvkW6XDTv6lsIibEXCv22mPTOeqkD4NyW1796TTJFGwwf5qEnZBTvMt69e/vXqKOWpJXz/Jq/Ce5Oa+EEfUPAiLKYhtl+iL4p1/8pKSD8BSf+CjhpTgfnxoVzNXVdzEg3/BPRHMKtrPUK0vma8NGPl5M/C7up55aI5++IbBqlwHJTruWXXRL24VGqs2psHh8sgO2tGbQ0SUNlaXBg1aRKh5yK4Zdq7sY+QGPrAp3Sn7hr0XcDqw6rLRcm2u4dbt2Nw1JWaKfxlo0YBDqJsLfa7cUE76YtOKjrxhc0Su9yX+9v/1gm+9zISX65xBvUdcyGEE2hg/kiB2bMnT9Cs985SHQjXZ0SGy5X7Z5ZyrSBdyg7R3CWN3wbaeoaxoQCePcemK8c3EZtH+erItXtT5G8jwqTW9yDCX2Gmt7R7BPOU9CvLmYzGzeECc4nfuy51xOiHKQEqds8w5BcIL6NrfNQ8YqHud4D6XDr3MWHS+xM771O4nqh2+8o5hRAIcBJwx5y41JXJpwNYduM45IgyxZdUXX9wh+PFto8hg4wFaIG/Ih7pxOUN5MeTlD14y2S1IZ2eHZ1g0=,yMIvVWLpfLEA8ytRKHngRpQFsPrCACHYACgVsLXSUHnE9cMeaRcFbAMhmx2YEzXIx6YUhENM3iC3WBtj8+LtJ2w428ZhYyPzdOoJAN4Lfp0+nskvtfsx6fs3PT2jlLS2P7uYcuNnPSR/1IB6ZwYg9Yd8iWMi45llYTPGd2g3djjKPHkhG8zsRR5s5DQIqaOO7BzbDcBw6hBOeeBNyTXZjnpayOvefX3fkK3RSZi2RXFpuUp3hUVULlJU80RGHVYVZr1foFsCuYw9Izof6+ueK/Nq1hq82T3KEd1V1UQVQ5PJVzBJr/CQgL1EvQ3LRxXkoydBtRnKiYoIbm7NfURMu5LVL7elctw8fnczyfmQnW43rpxwjM2lnPKHsBnduTbYpN4dmWuEuRwtArfnZwoXUN0EtYlhGzsWKt92OO6ZZ6Q/cjidIZr6qgfr8CVpCuI5v084a2fPKI+NmTjiJ3XbUGC2Wu/1Iyu4t2BdwwrQ+KtYWM2OnY7NCFEA4p7Rw645eikFTyt+2uZSpnEQocxCCwpMRylGtFBj16/jWA7mGdD0YTqr3sWeF9qj/QWuuxozDkA2uRw8soU0cg06t6uVb0P08zJyusyj4pOVgdBMRlLhpYvweSxUhqwYK3H/s5FbRF5pgrVZSKul8ioLSWpg/cf1F9YSEWdbyi2628Wnu2w=
"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl","Barry French",293,46.71,8.69,2.99,Nunavut,KR6sWXleCkoAoYB/Rj2Vumun54Knh9mTeDG5JTG7Dld6WBa7VYhtfHWJWP9vWUanLoyOQr1s6H0uLthQ7ryk/WdeED+WJFHXo4vWkwqjEYZzQqRDtvWVlX3eo7YQeVA3ZyY+mZn+AyTdABrL1wMn22NxYCveJWqNAKTyB1Ps1wUljtxbJA5peQmoyAXpkBd6sVzQTRNDphq46hY2+mfMQ1bRbXbUqOe+pLjvAIo4s0pVJBZoK3xe4MA8ASj3BGNhORVaTsmYEcc9qLQGcXt92CtR1ykJ/A7QP2hUqtX2MQmm0Z5tMicyv4ov9/yTVpHtHa3qkNjN4Ou/cvE2pakaAuJGSghqgfDv06twrjBS2tZ0a6NrRTy6s+ARS6Ksr6+dLV1d5eyEACzdImdyxmVHdWklPKE+SYkC1AxeBJ1cHq64kT5NlSmWamvNIRUdJ/Dm6xIbiLZwy46Pab0M+xfrUQEEFpVet6hhuhL3OF88QXuTW3DpPjgW0jk6Q6HjJVOLY6UETyslnXG58Sgd9zU3mnbNLRrtit18kswdap742sLHJsm8g3hdOpNZfIujUy19XlPPw5WSAdYmsixQsuixZM9iNGKDOAEehLq1oHkGmuK1yDOMNgIL/O6ShDNOCO+4nyt3wLHVKjJLZvWDwgV1nOqsgHXtAd74WGKOqHLP8vo=,aX0zohatW8Tqq+Svfldt6yMkvpbna/NDfKgbrOLz8uIvw/KyyJleAMrqva4RTdk6W4rpjDVf2viBXsU3s2jHbbSMRBUUhUAT9Y5fT0VtQIXWVNUHCnCjz24GotcHamCSB3eBgiXHC3HNgKaJhK13zAwHOTOVydnHoP3hUjAUuxk9cNdmovKdSyOpp3SkJnqJ/xeuSrEHxmr8skbjRPiY/n3rudoosPQn/d9w/dKCUlUWfVbfXLKMGl7L5lvggMtwT0NbYSeTaGrPrcFLnsWQ37m7tcQTmMqP37081XotMubJrqOxfX6R4fT2K8iAFzrQvyPSHvS1jE07dI9QxMe/Wo/+WCPfbHABalleisaTJEMcjQXqvwEmQFshdh41pDNQkSV+yTYadQVlMRC4wFgEK71sf4SVMDbei9WDII5O0Dwh27s3C1Zvjs+QPPwUp6H3RkyLo+kJ0qVZicewYWjFmh3TUwVyu/XMKAr8WTaltOUQolmjVl0MqVL2T67zF+RyNfyWO2vD5n3GLl4P9ffSoze7F8xawWInBJY3/GxOgB2r/ZEvq3J1gj/JZyz8XbckcXUTgOunHpC+wJJQhkcrlQhbE8bqTTBxMWXD9Pt3/zl0548iAw3G55e8OvoeA/QU4X7Y/GgOdOrWwRCtnlSSX17w4SmDQMK3KjLXbb+82fA=
R380,"Clay Rozendal",483,1198.97,195.99,3.99,Nunavut,15EvF3my1BdwiyHsvlarjkO+4FrejA1D8yDUymLaossv1FJjhLIt3b7ii2hDkqqqSox8zBHVPq7VMBqRf6ERvffrmsu3GIA2JZ5GOfNXzs6QE0ZXTwVck7ikR41KpaLQzgdH3eemyb6t6QMvyh4+nv/dr7DO1T4PDTsUS1MMxkqJKBE1zAP4c7D7CVw74VY+eAPgwHWZOT+Tahbbj1OA8mEXjFzBYIiWvqmzolU64ByymVEzBL6G1QT24uHs96a4mJQqXoeDaW/SqCMRUuikelTeg3d2q3HceTrD1JYyp9+z+tZp2lkZsjIMnSlwMnXBBruarCRkeOUfeUl1CMkLvoQXI/6sDUSN/31wKqu1OSP8it4JyzVkdQfY59yWC3HT/GudrVoWn8m8oi1QmvpNy5sIYBqNaY5uqrhnW191dkzNB2xseETj/B39HHed00uP8l90j0jDuGw/dV+wTPmIAOL7uSm+sIaFqFHVNu1p3ui1o3LCms/5aoZa56utPtSnPTeAc0MZI/dRxaGks0oWbTf4BbcDyL4YbCmY3AY37kH5/PsJAyTtvd8SN7gHTb/SShU4e6TzqMF2ApdJ7ZZPt8/QSFOk14fTWiapYD6Xhf4akQ6bN991oNE20Ecouysv1YD5CEeeq7hlBZ6+8JMB/Wi/Lvf4+KEXkXhg5X0Y9bM=,RwTMxOjm/jBSfm8kAwLCYEnTlMhbJTD4PfwyMKhtUSGcKKZX46/bics1PNAYOftMxvyq2u1i42Cc29XZofkSC80TNtcvkSN2d47Bbc2AWl7tXiWxfW0yZ2CQVTaUPk70DH35E9FTY9IDa5/vCsNe7uO4OVBIfa2rXEtBm5xhX1yohdq5ypDmaAdRnTB8CD1sSpKzhaRX227pugoUK0vJKdhsGD2yqYAYT7MlEWSW31oy7TSOUY6IoOGZI44Saf3FMACZaM4JL7fs0NP1zuiqiHd0Qnh0tQJMULbK0H870+RFIVYyAswNwPBS4YwWkx5D304j11/xGGyh6Yw93wLD9zBbdyC6sub1jnVYwwxlVRjyw7d2qR4YqlC24SPdas2VB8fI4YxrE8jle5S2/Y25a4wS8X0dfwxN4uMjWA+hu9Si5sT2IxHKI9STNa4Cwk/H2vvQ5IdP5TlFUtrKY1sy/r435b2vfcyA8bfOxkG41jGzEhQR2iv9QiFnnzlj+GHbTYuMxwVJLTYmxDmvbHATJ/ZsGvgEK8OUEYkmGi03D3H8moVDP+FDctp7zgAyNkU5o+UbpsTW0NFYXjQ25OdaOLkWBaB8v/z9eeQDzR7Sjs0weeYIuxXPA60o/JazkAOABDWlMup8TrG95Z74fDvMWoJ08gnoFuE+3CP0VOomEAE=
"Holmes HEPA Air Purifier","Carlos Soltero",515,30.94,21.78,5.94,Nunavut,29xyJA8oXbXupmp46kUSQk2f5QQPzpUSnvwQDC3R4pfH6VIozG47Vs2NwZRDcXDqeVCiha+LtsEyEyu8YRjtJ7VoygjIiY2YwykO+yXO2/Gfv3BqsX8k40Z0gkpO36cjje7x0pXfbyt9Tg5z2lcjB53Mk6iuC9lKq8lF+JqYUQNyZkUF0PAzWTkJPrCG8kWR/QqoIlPeFBRezGu5mr43Togn601HpcKv025G3TKdMQhCxHy1NUezNa5yVA/OJ6ZFpPgY0Aca75as/aOGRiD91U1yXLsd2H4mGgPX8vewhrIXutMs4DKZj3m5L3oDuUWF0+R3+bNP2COR9wDaZlGudxEcprahJrUPmy2QNys+O/+HQ72DDVXenvptTiniB/pFwZZcDaPt7OlWHr2F+iCG/7g2XpF0LVUZDR1p/APY4E+9d36sFXfruOX8L8NC9QY9inek7w/Ng9YF8NfCdPu4rosTOUFP3M7otrA6G/0VaWCZxJyNubPk5NAjfdgXAp3rs3RZ1ZCkynpiLKigsaMGqPGsf26Ljlo9FcM4FElpkb7NUYcwDtLO9SAPmhnTNp0Z9dmLjzDEuolUdKnd3EbYmDMN2mp+hXINjrKO/fDbrvOptC9PS2SQPoqDwc29uSnsSueswUbsnoKMiokSs9qZ5MR3kCWmalCUp5VbLnynKfM=,WhhPPcF3r1nSEfYPX62WlKqC6/aSHjPU87SfdCAe0d5sPqvnVwyeF29pya/qmUX8r329pAsMVc/fz+XBxal3WEr+NiXWnVcpG74iPFdFr0/bZ63D70imCiJM9DeMNm0eJZ2lY79bA70lvhgmnBialBgasoS7D7EkH78h0+PqFZxW9AhPcl5KVtCyhHEG5C77wJgqBBmy90gmWAveFVQU4a/uzUpC1ICrrPmd7Us5nx/iVMzH2BogNSE/orT35XcLb6bLrBi6F/htFqTvlTpBjdtC8VZoDAuzerTFrX4/LVD8FvD2yMjQUD32tBLiMrwMJOBET96bw8kQ7YwE+QsBu7dLRz5kz6dqxo95S1ICX0h50ilI6fJN93r6NYH1FCGUOmqCIFaZKEdjFhrnHqcnv8ze/hviW3vTAL27/zX7hHifGjTy1GNJbA597qzOx+v23BnnIzNI4XijQd2j4Yj1V+lt90ZKApX4VpppxguoJ5F1/QjN4BKIGJdbI5c3IVorjFjC/Lz1KUPOdpohsXNPF4/z5EEaXXqsoEmLZT02kwynaY31FdC+SHMetIJrxadwPGhW08YPfTOb34AceJm5OzVWra1rYbOQ+sjNPwUpAOSxI6LzpRQiNVYIzeN4lEHTvDERYMR04Ecwgs4wCDMU+dTd/a+rUJClNkINj0k6nu8=
"G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Carlos Soltero",515,4.43,6.64,4.95,Nunavut,mRevpvLH7ggiyO2b3mTfBvUpz9hywxtE9qR3Pf80xoGKkLQhgK1wQ5nBYla2Zc8+IHlNbNbwdAXOeOcTzKhu8neMR5OvRSoADLYuyng4RDr0qNTrdDtGc0SeoimeGQ2+FL7v5CxfWnCNoG8oX59Y1KKX1NcOuZgly7XEXapAQahni7YoPLIkw9CfBchEheBn801Xx0qtzPZI+RS9dNYfFJZuTnTgA4o4swm36rPZz0DAV78ksRT1HQ4k0fz2fZsIXykja9i+C2rnFeao75U6SwVvSOc78x7JqVhUI1EHdrWW10nOepLs5worJ1bSDhmSh1K6ZPjEJg/VS3TePaiy7BqMyURtWbcTSZ1i7kBM+B8fW0oeQRGUCa9GO+lf94NNqe+VYQesTR6u8hpKsR8AhEUs1EmEX8RPt9fQH+E/f6slyDj1MtTrgiEY+l9tRBPscL3Vjj5KC+eNpx0HuEMwVCXYDQ6dIsaaFij0QvNs0jn97nrLEdaRdcqbdpK/1gAePRkj97zkTzZ8IyQWQ/MefzuQN99vwmk5gmmHVOoPZBqFGKMdINia2FdZk90jvAtafBYY0yN6sFdv1EMjILuuTJpZeKls1j5XleWFr4D/iC5kSCC7d8nxeLmQDdqSqoMCwBKTBVwDobNissrIFPZnUtjnO6zn/LHapQTgS1kZg7w=,Bm8vPNIji/Mr48sfPdrWtNitTps2SKYc73dMa0FlIytVlSiWcnVnWcAa28sp0Gv9aN3Gq/xVXyn4yqbM+bDMvPxmjtpQ97mSBgYN8mQXV1dYtv33ciWdKj7utHPmzmhfdxJs3HGiBF744+6fp15sJflAfQjk3lvlblMB4SQGwQNwR8NZWnAY5F4C8N19NSV4GeS+bddcDzHHrUohfvZ8nzk5+HM6iWDhwWSCGDgPTW6Xga4HzXztUb0UsKHctv+IFPW+ZAX6D2GwKERiyQGUx4vlVdmjSdM/dJNbVEy1d5VfFA+qGFRZP4JHcJo/NEPH2VUfN3rxVPwCOEADI3dqWe2wUzZ1E03IATSsnJJNiDN8PCynWlL4CHBbvP6oXlZXW20hj7WwXS1CKkNdc25+roN/LmUEHlb6pNUTd4aUSK6ho+dLNf0Slg6ggC06B0bO4+KPH2bvpNjdezH+mrHIYLU1kDYuA+yjFXRhtulU/vN3hVln9cKuydhFH1Ev5zf8vkmwSljCiyWWvuPOZvofNzSM48z3gEEvBbAmXiDqPVDDPSCEg5+98KJgDS8y1RnD4Jf+UidaqCkDLWiifvqJ3pTxFZYM12K1kfYstElagLV6Ez/cw+EK/KA7bG1BX2YN5etShaFUYiKVKeCSAK/pbHvjdKQWBBwZSN9LO5KdrtA=
"Angle-D Binders with Locking Rings, Label Holders","Carl Jackson",613,-54.04,7.3,7.72,Nunavut,zJ9SJHv+UcvTGiJbydpXFgINANooMLI29eGhd10yyuEXJC1pGazuNaZpOPXReNw0Ankmhjz/pDi7XeYwXHatrClH4lV2HHAaBcUs7sGFvzNu3CBzErkbqTxUCi3dPalKpVzHfxPVwbwy7zqqqd23LO60zjLIJ6ZwsV9yc+6bmq+l2ChorE76E+/zOLD6rwZ5pZLRWU5vDvZQ9xLVQYd60PmJbdvxzGOl9zax1AZFvK7gJh9MaMgBycbXCZtgSbhR1PL64T+Gz4oNd/D9IODb5v7syVV+J62EgGljIDWJQ0JiTRKhEW7WIj8tPQVsX3ZXlKQNgfLUnSlisLeKbm7LTMO+FbSNVkq3TxPQdU0BmznCDZ7WrnJbc/tJtkJlkuMJeZlRShg7FhD586sneA34r4WF9XFUStDIdPFTLUREgEtMICRzWFNyp+6HCV00H4OUApyasjC2UoSDivQ/o6IVeT/WTfm7bP+PTn3IDnlSLY8LqXpnNyNGNcZTu1iUWjIM8EpIXSx2Qk4KPTrSDgMfbyCYWPjsaRbaeTCpK3GopnGpXsYVQZsY4JrQh/ZigaZPZhyOenLg6GGKkLM5jyUWrh6td+N+24tmkoVOiZC0CQHYu/92vQBUfmkFj7qNMnKBbNNuHiulzNXhb0MR8UMrIffi8TWcQVTxQ65nOJEqBE0=,Q23rtxP7NqOdNyGaMczD7yZVcnfXtohobjDYj7thnlqfeST4zlFHxbpLKnzHqFrCb8CBEg0+EtzHF/h8ZGJf8FSZHbztANUGCrlq+79ghrNYyOeuG4HsaQGs0lYVcHil0hcECNQGg0BUcRKjBIKj9QprY5lnZp71xYbDd+oAb54BLkOeCmw77uLNxodzL5mv747YfZC5d3SLXWPbiLE57wadbBJK9ASmnc7MxpAWWkgZHfjUJ127NRImSeAsrbEG57QTginJrmZdCsSn66avkATRTPVBYVI9jKQxWIm6TUq8vijMGDexn+Hhr5JSDG/73PdCrBHYdFwXVxl5jYJA5Qz+rocx/7W/ZN8m8RhPCM/4mjlFJVV5A79gTe5iSfi2LaoyQGimnxJmzsIsRf7kPKpXzk1sCwob+T5Rs5Q+nKqRTJtc7nYZ9777XJNUNSjpX3ywQ49m6QAraJMr5zsTLSyqDJi5UU1xCgPYhMXosXPkQDyPaRSaPNtvKP1NIbB7Slb3UmauwKz/e8aqnesaJBce037SzE6i8bWWjmTNVQ6YqX4cRo1pRgNGmTu/4XA6WUTYjFmYNzNTA56yzH8eTKt2vE9Gitx9Bbr8unLJbn7FDureR4OqCoBf/zpx3xCYV//+7zhktbZ2TPU+oAW573+V4Hdc1JwZy1sI3rmt1co=
"SAFCO Mobile Desk Side File, Wire Frame","Carl Jackson",613,127.7,42.76,6.22,Nunavut,RhluTl944OosxWJ48yg5dVqCEj8jTHYXyZU4kTwoVedMHHqHGHzXnWwmp5pIKorwfI4T5j4Gl8rYW/zQl8uOLsEc56BR+QKT1ZX9IKsWW+vQpi4T3x/q529cUIsuh5tb08UdWG8aZwc3WMWBRv9ZsaGlZlaRkDIzzkaJrA3nN6iYjrGOJLvga5m7j53lndh4V2IgdRHSNP7F9CY990HGCZh2SAg7fNgIfUPvE/IDt+tbaYvIA1rHdctTOcwV6uZlRL0A7VlYUouYKnQm4PSPKWRBU5e0SubtjqcY6W88qHx9NF8ftKN7P4Lkb3qrOqtMkDU0waHMt6YyiYslu5B7P4ZS+PUNqgnpKhi6gd0X2TrKpdq/6VC97/jfRcLyeSg4uyTo3IuQoBGJsSq8eBk396dSvGaEfHiaXpSuy6ywTDvrFHPD+rCB5aWrmJRMpUiuzgfzbdMDtSWk/rkGAuA8ySfKfuRd9/fcK2YhWzUNNVBIKFKuoioItJch3PRo6qxg7oZwMnMyTecAXB2KUMwiAnhHCOkoT/ZDVCkFYIQmcfE3D0N+lXIcgc6gKeOYtnGIrF66vqBOmfHiXnvbbeKjRpI7/dEYoCgH0G8sAHR0WQBi6pRtNj8kwJJvwGso/zcRnD7Qossze2JgzBb45XTfpMYS7Vm6pXDYFFJ5Y6/wvSw=,tu+Piiw4qcUNU8cN7t61v0w1seiXu8f0De+PZm8skPNSDpn8+tf5VAqQLLV0ckNkA4LaKAkVZhmPPyufSQjg+nLZw/IkwsLdck2bzPzQB+9bs+wfRdn1u5tO1QKspB5LYfIYKETGGbqFp5QXM6UYqupmrLOk4bYJ0yAx/nMRpbpD6FKZY4m0l3yPvQC2lmx+2sCZNH/zNQiC8JMhhSs0VHHPqNijYT9QqaenIy8P/dyreogpFvBJjKYtPT/Jfqidc+sJrE78PvUUu/LlWoUvOEqlkkCuTMgLF/lwgYaR1TOhy1EnyzhXR7t/ep9cTZscN6ObYDcOVt3o2XJLS/owOcMyiqB89WYIukkV75s+EMFPniRVde0VBq/WWcW1qsXxJ3y+mK4o15aSD/vKyHZ1BtuYCeYzpvlAEnvKhSnsdwQbv1jljiRwC3P8cdbDdADHT4T+Ef4LZ1buwMY3suGtw5cEhmWOp7Ph6SrtWiLWRvVt6E6wjqvJswq91mTPjgrdHsYiEFVUP/quFnyiwhhFbgsUnClXs8y9Z2WU2ML2zH1Kyzg+k9WkU12qiZVPXc2q5BBsCy7F+g6NSUsZOpdck7rCFOwIvwjWt8PqG48FcnyPlVxdhrJBJbSTVVrqEZAUb70NT0XTWuG+pFKu7bI+F60UWuArPB5LTwctsfn2yjo=
"SAFCO Commercial Wire Shelving, Black","Monica Federle",643,-695.26,138.14,35,Nunavut,ag1CVOuB1aemsS1WWUHmYYBQwyon0FNDp72OmZ5i1pGnOaDCUWnD2wlXbWoFsQZ0NegPDrhQA4X79VC8xQw+tk0kiGQNzySL4oWYPOMoEsCVdDgdVdAfiapwqrtUxWo7/FlJmbv1gk+ZUxtiYpRrmz5QVls2zJNMlwaiLAoY1bmkEPZiWF7WsmbPBkFKiEmnwfDnyRIwVJUIlNQDVaRJiKh59MWW6J9EWfukRuCK8crGpSS5Tgun6EsJ8srRiqmBAXHAmzXf2TQ8Tv6PnRPA+12GHxfvpVnXA8cPgz1IFSmW9ANxG23+CvYQV0fSE2fQGeQsfNRAuo7WgU4YymJPHdGkVCwvEAqdlvgDmeDyY6Bv7ZM+yRMqJGLOw1+Eu6tWwQI+1xqSUhV1t8nGpmIEoww7Sj2PuSN7I3C+mGpn5AoXHiSagbCiO/GCVYLHSG7pPIkIYcSOWv2WiPX2HBFQye2dakXfzRUe/6xX4MC439afCqokYtWIALLNfDkesuEl+UiFKDiJMYnAy2jXigO9vYjLPIufMAtnzMxlzIxeUIGKPpPlWWx2ap9zgMwzPNWIzcuBw/tHoxlDhOBMKVDFSR1gAvPVWBpL2RwArr3qQnt/JRuoPG2IgBpo9yASTLH4jODe/pzTS3fJMY2HbTNUzgT0eltAjHCDzMNbphZrQp0=,txyZBX64EiIm2ZiOlrJ5C5agMqUTl8vnD2nSIHLXWgfCBb50mfjmwGVWuq9CkSth+/1k49eAbS/ik0yDYhQ5Z0FMyjQf9DeA3UvC3nv3z0D9kVMrgypVZSVcRAqx6Si1dwhZojxSSOMpwywEtpp5TKURyY3pyzigTSiJy7678z8XvSE6CezKlwDt9Rv7f5yaxjht89B0ejFk9bvrgImM3zyyXIgCmSaX4UxAQnmsz5LQ5e39fasZ/Nlb/I6Dj7zG5sZ2QQ97PeYVz4ZKI+arpC/Iv3S0DMdn6fg4z5XH5sv//hYPQM5yooZk+SQ+DPX0bhhF2e/cTg4vec31pcdiutf8qwvmuCMoQgZM6cD0N2zQT9WuwR0BYmk9MV5U9O5HehojEfp5rT7qTtXpzNN7DT/QsBZlnPu+khyi+5aiXOqko+/WLDMrLa+yLr81saM8b2bsiFy1EzSwhmxhyyyyK5YueppCtPUbylYWgHDxz0Pp5Gubrm/rwbfhxRli9+PRm2raZ4dlo3KDKuzFrmENYTOatSpEQfHxRNkQk7wFSr7BrXUEesW08N7nXIhpsHemTofti8lm9xMGw3neDevXFMXEX69Xp7bBCA3brCRvEkNdJKTQitxg5jbeX6TwfP4h3V6sSpGWWRDKA49clyZKPj2pzZMwBqSDxjEOJPFJByQ=
"Xerox 198","Dorothy Badders",678,-226.36,4.98,8.33,Nunavut,f/htCSQDOkTb1y1aFGAt8A6Y8/VFkw156tuQTWfKp86z/F0GLxWMPYaO1IQjq4uy6S5JSMwJSLfX5yilvMXboQghRe+NIXGfYr8tgz4E3zU4+7UIwAQtkAOoTjZMeu99O506j73KjVEBrtEHtjcZwWnvpfnDFa+juV5lQCxbP+IqWjgZ88DpHI6h6kkOUkKhz+SOOMytkTfaMnsrDicvqpEz11232Bs3AQRvMTi14u1VAybprgg38qmtiz0hAsL1FPBEUkAwyksaieDhHHjtZ0Ti1INZJfODzQsagtJ7B3LvlB2234IKEypo7t6UdJYICg3/tpZ5TuX5J6Ar/r92EJirLuBhm4InNBtqtyQBQxkgrJBbEPGr3xqVyjHaiuy10Ct7ly28y3DFP3FloJEBS7SGJWaefW0y7q5Sk9+XH8ahhNC5Vg1x78lcZOYpoLiL1QlSpVE1Luqzmm0KhvqjBOTeL416niKil0u8Og45SeNeaTJGffoZgS8PecL/05BlRWRLI7WLaV3lesX3z/ng3FfxtgPCR53eiv5771dKbhhgRDlhn/whBZHWI8m4kfP5g7hCoJk89ZZ9DETPxjfw/xqZksN7jgBpuy/eXBHKaTf1AXq41MZMrNGm/15Oy5BuJG5rFJydgJySw043B67CZxHbO8BUVj4mF8OQJUKYGso=,Nvm7VkwO98F6NZmkY734uH01JMYYw79xQJqn1lG9mUQqcOda/u0wGRx00ZL8cs+GmV/3WFuJ/BLWgg5XbJqp+BC9MIYH0v3UelX7+ygmqR2oub3NQbA4N3x9hMS73saQifxbejDOZp5glIUn3PlfgIL/0DVOhEeJICqalKeT2iLEWa7IkvuWrnH0kup0fseb9qClyvkr0SBCp8hUOpjTX1mwtfmGnclIwfZLzIMzLradvxB0ZiBoNQk+P40d8FO/VtOLKRmzCjCxkW5uyin/y9Kmbd3IcVrIbFMAC/N1yqBvoWzQeHvHqxgTkJXfAj5M7AAtk94c8Q1lf1t5u8XwEkMhPpPHaBhQzUEYpeM92fErapdAhKqTNWpwZWD/FTehO9lq319aQO/bBh82CqbPz1gHJj3Qj80Xffc9ZH1K8wYYzE+18UCv0285TCwd3xwa7PyMRrqIpHmnYDeUcdCNNpH3o698TJGnVtgP1vXhk/F2gtwvnZlUmX9uIE+lluwn6D+TqxrbxvcYE6sb4GFX9wbCpniK9uO74D/3mzJ8e5uDJ9vwxh4q/Czx/tfUCDToiTrJfg8Io5hNk6+JhsxNMbiyDKbxt7K8FT96Pa6GGexOezpiVI1sWxRchXDGlzGmujQ2rHfzbCaLEN46NfnSpDXgc/bX0STdoi8bnPBK5nM=
