TASK,NAME,EMAIL,STATUS,CREATED_AT,UPDATED_AT,DELETED_AT,FILED1,FILED2
"Eldon Base for stackable storage shelf, platinum","Muhammed MacIntyre",3,-213.25,38.94,35,Nunavut,XwqrCZdy4NWQupZYuGP8noEzgrBW+gQRp9T7gIhHdUqMnRTykDInSu7tI34yQy644+Qo+RJG+RhyHPVRQHo7eJsKuNB51urETWMpFuONM9bY/yoFnL+tjxHsI0S6roTFmeEzjltgNiaJtdjNPRMf4lhGRI+aqiYT5gvGrJKAzBbTmxp4aCHC0ukx1QfRKGMIcSu64STLMJriiZ+PEcuBkz3awolVEFRw2CDk8rS0PfpZnl8kD/nq748umBMue4X9Q3/EeI7epTU7XRMC/6QrLKaUWNgPEK6j8dX3NqZbYXRXYVAMRjvBLYEHtayJpJqhKOZqECGPy+PF1SA1nQLmSegVUuPO3MjsviGPbjfKGQQ+F+Y6He//acxs6ktcWML2UOfa5EhNM7ho/JZMwPYWhbm2z2YYaPcM52iaVVFR21U/Sso6PxgkXAv/oBP2WGayI+bVWNtPXw6F8n0uXpV3h+8QtTitBXMgwxuyEPgf8jxW0pB9WBukiN+tNX7p953Bx2PO/bcnST30bVVBr5aHsrSi7BJZWryuDDhE8MK9DcOR9kpp30792zaO8/IbuEB/hmxilK/nLgzU4A2ljGOSF+YO1lJYvgFtKmtBCSa4/VqBMaJBIQLSxbD6U2tVdzoSiPyNoUARadIxIwvUD9CBzJlIS0SrGS0M5AvJoCnu4Dc=,mrj6mnj0osjHbxTlQrvyTXQ6TQ8oWfKhzsl9vVycpACbE2Av4+uhqrvUy9XEcBBgBy2YUiJjVHS5FK0DcJHVIYLbcyPhDvyekHCM/YQls39McX62/UMAFH2Mm4gVSUyx5A6CFV8eYJ4GwWn/4eYkXuOkCelemmMtdAq9hHD1HGQW9edbxXpVSXAfhZ8McN30pNGXiFGWv/MbdGLae2BPbglK//z+X4JlwKS5+sYOXpgkPaIypRVP0u1ZCo0GuAnkJNijo6WCT9QgUHZT/akU7gpuaOI54EdD7NjyAuANDin1bNeCKzy5G+dat09Eamjf5KGx5KbcZZ4gAuUYr+mN0JiaD94aU6bbC24yv1ma6NUHHrqXHDdXnCj/z0/hNZ8uUYwKnVrqVRVyXNMB7/+4vp0+hSFQwnDvuZXM8TCSrC8HbJ71zExLXvGw4zw/XHcCldqElbZd6y7uYaGCWkqboJnu7tskMKLduAPNZz/JQtzzOcPlrHjjPGpizZzQvsWH9eLo3722JnHxrc1q5XAxUAZLAA2p7UyHyeBb2UfcHSKNko2X/68bW1KbK/DWscqLHJb0NNSlEx3F9PLaOxaNEb7USuflsUulv785QIJduUA5PGnEUyy5foivsooyPbZi9IrTVJjsyW75RvSB2ndkMi6xxLXqLq/aqKYkJLdTkxg=
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Barry French",293,457.81,208.16,68.02,Nunavut,BQp5OjrIek1/eAkH8YWQ1T5eaz5q0tQnjQxnPnW7urIz85b7oEAWBk9oh1Dox3DagldwFvnIhvh0OtnVmzbPQEBhKg9WbSfWNKNs117UhM48amb10P/xBq6pZQTEiLbjzcDoP6rvX9x/kJqH5Fuc1uyoQ6ZMjuxsdHJf6dHErsrTXR74dGPOhIJ3SwMWAiSK7n0d5SLa1PB9c/AjQdUvDYUGjMIpzJpvRkZ8wTUZGAiYOuEefq+eHQA4k/e1cKm0c9tqeogtVMc/CS8OZ6CnMMLO8Gab0OKu5BxQMZ9AOXO2Gix/KWD3Vhq98JQMSyvvRukD7cpz3Cv/fG70RSVpX8f1Y+FMrvxnznaWdYiNbvRM2D6kBjpMwryYEYANpwLgg5+xRCI4DhmX0zUfEcvRtQN7kraglZsMuYzsYwq+SSRjz9L6xWgNxala4NePDs8Yh6MKPPCUvj+zk5vlzkRWw+7nXtp2PbFXtkf4bguJVnm3IanIicML93puBCZfnzriSfKNUE6yzqhtL+LhdYfUKFTMwteQ+0tKsHfdgwMwKh7lIRKEZFAboVpW9wN6MXFy0CYLOjPN3ObfsOa6qyWnRiqsAFWGi0Noei7d9zaxpjWnMjH/2hpSyo/6XOcXAtnxy4Qsl3RQhuEQR3jElprqWQ1OeNpiawtRfmGWWuiomY4=,Bc2+8A16W7BLKgubgvqi97WRVhjqNeMjsi9mP+lSxNIJ5RsruN8Nei8+bhBJb8TL632bshoMubHQJppUBvm/RUn1YBwqnnFwimKkz4zWaoB5HZ5oxBEynolY7mEQNEFqaR13QRAppIw+7v4jma5qlepeArjb713zP+PCO35AcMjq7mz8EVYuybLWgnSLxPZpiDr1kNPM89tWC5FnOQkzotFXjoM1B8J0abY2b/CUUmU8sQa2q5pLJDrIXDmIg1gH0SuY/t/hpDXVyUiDsv2pCu5qNag/mhqZlydUdID6LPFwO9fBMC+Nf6UEEYC0+mpalSzAKf6IBgN2RyMQrtSVUKyDl0QrrfVltuBESnYBv9bJKCgo3AgxNGc0R14DaufqWw6t27ulsH5jrVsZyynkT/xaDTCwmXwWwcr34oJT/y05DXed9yfT+URPEup9PgzDUJr9MDS5PAtlwN+/NTswxRPjzATrgMlJMx746YJnDA2c/h5H+VSJPjms47MjA8LgFK6a7h+fRg30AvYZNXXoijXtn2mAfiqEjd9vD6PdVr2QtBhMHmVym14Ryhh8PTZ35FC8bpwqn4cD6gxTHqi6owQwB7vcBvTj3rPW+PO2BZT0SP70fGhAA1JM53kF7FOYijiDdS+LnLru4BHbXdY8BSpjDfZ4HEkjqwKZnCxM4Bs=
"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl","Barry French",293,46.71,8.69,2.99,Nunavut,fGAzLI+D2GYoQbtBCWXf+pULs7s1QeJAe5oQYT7eAjIvbjgzBBdPoPU9C1cGNsXJgNvV5bIn67uQF6oaIo8WvMR30BJ6FKXGlCbmA5JViclN3j811xUnF6J9s0OM47ZF1Ft5s0jtblVIyVoP8ZuuASzX1iGCnAVQKDynunjd5hxcb/HAmffrhkWh2wk81bujQ1wRZa09neZQ4bWHaWzEcifkMiTPa5KbGTxebCEJKiYXMPt3an6WYGh/alJFFrQqkeQVIcd8Y+k5Ar3MTJ4yhYH0XQbzfxidiMF9u/OkZIoJrtrcmnGMoeXTJ0eJduv7RgLJIGnuubQmNRHQlnOuq5zJNDd/FmTeLHLtwD6PD+8WZtKoEvfVRtZMqV4OiwKbGbpk1tXvHXTHN5QuJqv8jFWHAxDlJ2WsS9uuW6I82w6wmGezOKpqMd8EavGZz+tuTHBIxdkbU5jisZQPpUxOIj1c3aeOQPBPd0ZQKFw56yTWf6gQAmZHlzSnNK6prlA7cFzVVDOCVHIoA+taGuVvSqsQggi3RadMh2lDTHWBP7qzsxUa3o2Z6Y/3bRkSTWqwcoOpq4ince11t1Dp5+iFlndwsGPondtqiAwzAeqXtURDSO74YbRoR1JBnLoqj33fzyisDccLm62IJCQQqTPB6DsdJEfXxNNnojVF/CpRpZc=,cNowSA5zh+j25/oVlVQAfPxjedio8FeWMNxMezxcKCcXd+fE1JyV+PLF/CydhmsYioINHwxNVabk97WQcTKrYsIRPtJ6O6O+Y73u35al8XoHLEOKP4DNd00kos0d075X/f0gfCKnbydqSyiDAdE7yhgCHtwfZubG2oNOBtH9ejBEcfiBaqurJBNX8JAEvRX4XAccx1I1rE+2V0au3AbBNgOwAfrxleaQpQMYCoROsWAu1lQ4orFEc9WQs68eCiWaHbrjOFN/LfXjhmn269IdhyM95qk3tY8rWhyOhilpYG9nv/Jm6nms+zgpiP75fE3u+F2av3m9dn7RZg24c53CtYUNIaPFt4H69B+Xpw5bM/A2WFvy4hkja9S6c4uT1as8kkoU2WC8DoAM7ThYXzNEQAKaFJglASVLsH98GtmcMXYD5VZHwrychZJc2kjL+TyLRwdg9on3tdx/B+LZoH+lvaRtBQItrgNHlAKJVf44Ih70hXLLvSfWTii4s4hhVorBH3aL43iMyTE9RnJqvmYqxgrqD1NVa/zpUul/Y1/raTe5Sb7UWJjfdyPd8RvxZsi8Bb6y+hxU/ZDVqW3W89cHnFLahcS858GmhmH20Tj5XY2r1jACNR2OvCBxYu3poQEuMSYNSdQ+LbBYAOQoaiI66sH4AnpEDTL4ktK5RP/7Y8c=
R380,"Clay Rozendal",483,1198.97,195.99,3.99,Nunavut,BmH/owQVH+XLCfMZzaIrNo/CxYEQqx5fODpyR3KPgrKLLKSEvCXoHOxLstVJ7kkVP9zDxLvK3tUsQPsPkDTADjuyKLv5rxcYnO1YFRVUW0yvMCKxM7c/td6OidFz8OaTge7ZgmO/PB0m4Db8k93DsVkkYEIkdkoLgPrLXf3DHawh5i/jjTtmm8YYKfOzWvk0gfTOlVCSFAdSn5r8K0FB27ZeMruHY3xEGpnqyYvSgoe60gOp2sS15MldP/J3SfK3YWnTVxnF6QpR0KARYNkI+MCYRoJ2ycCS4Ivz57W/ABe4pPdGUFEPGLjIWBwoHaSBUs1LnHhdNfiwS1kWjh7xaI6jdQIaDDE1w3K55Pn3OkBNrY9we+EXKTWH1zYwj4oex7SLI5HxzkUEnMtidXUgnLThpq89X+I/YINQMGNEAQkrjumiJjuExrxVJAOMil+0u7lh1tnkYuntN7wIjBHEn3cKyOkQIS4CvZ/TMEQfIyrac7OuAz983QoAQ7kulmRBL7N1+PimgBAmIvPokbVpbEqhScEyN8x2Few5KnXUOilvEdkEuXfyolRUjLFRg9wJVQOXSSED8R48YsEpMWSx90bM3BB1MX988SC9ZCXWfFCYEm307V+2Q99S2DB8dglODP3X7R41HXFT5uF1kIfQkZrgK89JCVPBkYgBEnBASyk=,wDM0ym2O6ao/ck6VCQrTNqsDIa0jGkt52UR6U+wE0cfzklfqLTm3/zdNgSy/FpE1O1lnFEj1RJC5Icn/pSIZzcOaMnn+nTM1VyTX1ZKrKE5zXlxn44fEjRS6RaC9tPB9TFa79VZ2bZB925yRMpV2rcc4DKUnNVQz0TkRQ61sdujHay5mW0iX7/G4eLBWMzPzGXfQIOewbj1lXuv8R7pWEVUVfAO9hK3tq41iXTNaBonayJdnPBgwZpGF2/BCLzwB3YgD64R8WZeTZnvzzJqelfg0BFIPpARiCWy3GOX1rQXcM6djUC2xf4xk2UrawpTR77oNG5xUXcjkMsLEH1+zCe8WHlWbAwFv88PnF6p5xaGToAL3eKs0V0qWD39QQgqTRdxZiWcM5Q60EU+HcRv58bRVu2kPcE6XdBzlhHsTSVPN/tpjcuDc6JkXpI42hZn1Rc4RhUL/q/6lclzJm5Sy2ErEkb5fLQO8jwHKgCs5mBTuwyCQLuJnLLvgIiY+blvqIcXhCYCYw7jYl5CPymlDhc3QAs3NURdhygB6z3EuM6P2nDR5Gu7QEd81oy6qBU4rnan29w6aupnnJ967yqzrzkMWPLwKlU9QIPl7TaT4/TNYxQZOa2/W8tkcZz6mDarEiqAup9RZn2EZjR2E4Mo/J3NkI0Ea5UCsJyOWpX5IRBE=
"Holmes HEPA Air Purifier","Carlos Soltero",515,30.94,21.78,5.94,Nunavut,FaeJGXpfWPPrvLyl/nXSY/liI9mDPIFuxuOND99L6KjDHMkgZP/BWvcajtzALIjY2wtVt+GhttI4bb1SOZa/eqS7YNJ4oNbGtBGi5VfJH5w8nTk/bw2BguWiv23Scgl5hxupoPqaXITlI0Oyu5FVcuJ3HFcRVCb/rplAN8fviMq4/WJaPxrsXp7hrZ/P+7o0JZlxA2U2RoTLn4Un9ottcEs5Ze53GbLz6C6txIKgjqBS1m2gwflqM68d7a5jZJeSlRmrMVQuXh3qzw83J5fR/DgwNH+EjvA2oUTby70CjIoycMvws/Kro4L7DY0zTZl2VvARo1RPGg4JbFPRPlPhuvm9hjrYCrmp/SS25ulcI0bKdkdRJK8Df/OJv6wQaRDLDLHbFDEjo2arvgIIh2xbiLOsMYsxuwlaN4VNU+yKoTBLQRbSoay2SKYB6kVgsXGUwyFxwoqzYwKO2lGehxjJspngtqCnmCp/hxGE9MD5NySM1kdeOtNVWE3s5xV18jbYBNdxY/UuL0zEbgNe9C4bhdOLo2iEHB27+6AryerM2Sz5b+pDQl1eGIGQI8h4vOdONy0lia1M8rxZW8EYodWIKmVsF1I4iuCsrsSY3b3PBRHNXe2khNCsm53J3Z2ONFDt3QdeVlUVA9P1quUDHSKf6MczoGwGiW/+6Uce/j5/Yns=,fnt4e0SK7aeJS5Ph6CxlR2b4e5yc/3oYvtpX9GLcPRgFYhnV0QTmt8Id/jnqm9vnx+SPSGTxmC4vrr23l+jW6MkVEYcuiDNcm919wG59zZdsNVzqBOnA4scnQ/pIuG259xJZd6JEze6LuTOQTrBbK605A6L8/WnL7x5Cq3ZKas9qgCvGs5y4vIu3eUJov4ICyo4TFospkT0v0yR3yw9A+CFi6GlPMtbvyopHZBZVnR+w7sHp5Luiqso9GcBuAJFVnForrJhkAPAlhaEIZdKwyS0womqnwpF3A9Vh0BKECMVY4J3FQ4XQpmCYvXHrr0Zf9J6XcYXdKr38vcqQwMgYp4DZhh02GcsUeLjdNuowZKKAjdOOE1+lOa8NBsaZI5JhCmcBkqkMIo37jBQ524CYuXfirMiUR9pZDvB2aaJDs4DBToZ9eHH4PUzU78Tx3Zz0C/2AcVAtUjA7fvAkr8fbw3+PIenxQJf8DtSejE7OaP5pDoqkwQdGSpnpwMiezRSc07DMwXyoK7o2l9KpZWK1DMzZFs5BaKw6sIeuHWm3/6YCkUPnfuYMN/hRIaYdz8WGCpu9ZE/qUUb0spZYW8mUCgSr7NYMJoGEbLlNUhft9w3XpZYxwwkhB5Z6K0L+fZmDQp8yPaAhtMXgOgGp53HSjs4lsmecPhClCuVzys4DHz0=
"G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Carlos Soltero",515,4.43,6.64,4.95,Nunavut,Bc5bqQFO0g0T4H6VWAuOTCdIqrsNZhZg9F+uA12k/wWbF/gFbeZmMfyk7ksMrc8jAYVOQIeiJKCuCMBgTiqDx3y9PGKzNNyHAJDb+1A6fhcQfnx7FkwXeKCnXRotYkDddfoD/3r9FRlmsSPKGpsTn+R4Jq6fhH8oXU+AvNlxKNdSKjOpRshhzliIokIi+Kjbg6EvSC/8CDKsVI3h0+taHTT7qAJgwLKAwMZ4g0RKYp3oVkNaKirgHhd5h5FVqzBuwiq6+2gQV7JPv/kNIrTmwuqGLUMey0YLKxqwjIrdcB7ndCMAU9W8GsWCjD4m+KHddl/SgH3zVBd/jhyCUnO0N5AMJHDXS4LR/F51dYhR+cjD0qZnVuDFNt/uSi0yeFesd09O6iQHgSghu3ucQT98mhCCsySzXTh3Dy/1j7WJgvWMsf3d0eDEooJt4Z4V/6UcH3JfbWnbyRE1euBsO1YLAc/NLGFqXJ4/m7+VtuvgVDgnPrdb+HtpBT9INKgXooFr8m2cMHHLcqBQF625L60zGWvyajez6x3pOkzTd1Or0pIOX143DMbbMaglhCmVGkM3cxPkI5ztkOSiYj6QoUBfqr7utcZtfN2b/iF4F4HQZCZCKWIvaE41RPo8bEzLNOZW0EQ6nKD8HEaXSl+qb5DCiqdpRgIhfguaBhcMQy9quE8=,KKHVgPJQZISaDXmBrs5SYL1gWoLzL5GFAqughoBK+yv8OmqoCAT+WzhaUwVdnEJVA8Ifem9+Ju/ckLdLgkpAg99hAP7IW9ZBdWrbS3FZ3zIoP2USWrlytxeBqG35i5HJjUqUypZViiHGH17b5W7VjX+HxHGCVULGbhME80lE9dB/6c4v7hqYvoNbft54VDyrda34+n2YdV0pb1ZQiIj1kk+dSdu+iQt9WXRAA/coiWp+Zj1nsGaKF0pDgpgEIkph4enB0yBcmH4VkvoZIkHCgLzscHa8V7Od8Dpj2FMbzs24qB1cHM+i83XeVbHmdsOSm72ruggZjAT/JptIBgUYNOo3s7vw+fjZWrehIoZ+r051H/TAjzBvsodYRzaQxAJjppxiB0c2AMf4+g77foOrqyInysgyMaTM6+wuvhJQHD88TtI42BrNtk+o/GX/pZ0IoAtVKhIpgR8G/fygTtqAcMEFdRjDV4pMOeNfXpmK4vpsTLaMveKKeo3N7HwvxM+0vNgbQTvDN3xidB88cLiIDDaRsTMwcBLc4iWVvuYf+/9QcRFaY8iVwxigO49COf31RwjejU18gTwqz5ATMmO25kCKuBUW/og9aU7hjOYiCAur3YgWj/pcbaCNC6glCxrVvzIeL/DAbIVD5sdw4637pWBgUIwi6Polm2qkSq3Y3mQ=
"Angle-D Binders with Locking Rings, Label Holders","Carl Jackson",613,-54.04,7.3,7.72,Nunavut,G46V626kQs6HIZNFg1NGxePzVCF+yHlNhEc17t4caAKldGi3dWVAR6NBTksGiHvR14KM9TxqAYsn7T6hpeTUpFH6t3QwkalNO0KzqP8bHfooaJVnT47/ZTaZdP5I1sH4ix/2Eb0Ro+t+bKqbZy8XyHNX+gSKBGcSaKTMwvZMv7ACdxS/pY7KH2ZK9deZQNyY7VzZ+DcdAtchihVOMn5bvWG0jLj6QQwDlSV0sCJFRpeG782+D6B6iMjZa9hataOEpAWqOTqfigeoG34bvc3bbcXUgKMUj0jT7b7fjQHIteQKSeTxOwbzzkcbOJhM4okVo2bU7su0frkV7BUE81KOBYHOTDWjLvXTszqTjWACzlql1OWMXC4PlFawKAnKo9CLtAvYhiObzFOyk+dzPDLMy8lL1+M3qtJ1bV60r1ee7I6b8iJOzUjtRUuAOEZEseR94ARsAAYEUdTFJZ0xdH/tHCnpZEZgtHwP4YXOknzpi0wpk+ykcal1ll9UKg5VdS7/JeuTPbpS7R5svMfkDVP9RMeZNRQobHr2k/jmYsqKAG4G2NE+jJSdO/E8V4qRjZ5Xxhf5tG7afZUsdG+NdY5fc9ZhjUUsiciYF8mB2LlzT0PPEm3+GqgyViZZTE3N+q6/nybjhhXAKpxm/6L8h5zD0TQ3QLmq1QpCYKkBiQ97d48=,o3eVP9VNrEKX37uf8HjU8L5GcpsdR+51bBlDAF4mbbTKSppxNZ0rXB4gMvEnU/xkR7+N2MqeP6Hb7saI1/NI/CGmUX5ekJeRj56zJwI3gUwNYxLsG8wilcD0zetrhOyXE0oX4C6Hw/R0on+MqS2Od18wsb8OAAAVHyisN2E27iJ112jqvYTJh/JbI2xCfAZq2PhDWvAs9VG2FkfFWO4U9eb9CaA5PSOmdwO1PdA8zErfGjOluxI7+8YU1p0Mlju7SRu2XqDhcxAbdyNN73iboeVJCtMIRbneAMzSn1pFK1Xczqc+YbA80lW5zQ65PghQbbA4lJ0sjJgVaugcneJFsAujEoX6Qpl0YbMQy2TYvmTeyzP24UoT0hDK3q82Ltaej211TRNMAteQsUvh6lQFX/HvKffezYiGcQbFaFnE6htUgPI5s9mFd/upPcNRf7+VU76UZ48pUEH2RjmL2OcbPGD3ykIBnwFh3VlyEGwDd7td+R2kaPm0ARVvW+qqv2C79ZNUEjlAdV6O1uQEjzh1QlTyMHbM0PUkIKXPkm3aQ+EG2A3e3XtXWdoo9cfic6ZkW4DNEtiYENSQ4Vg2o7aG/PfMkr8mMu0JDN5Jx3PdClZVVHQ/K4GpAD5yjbWz5uzxKy7H89op8RSHRQQfZ0XNqT3IqMhYxOvyCnO5kFHIsdI=
"SAFCO Mobile Desk Side File, Wire Frame","Carl Jackson",613,127.7,42.76,6.22,Nunavut,OTjzYTYKgpgiYrOzpcelALcndKX0qf1O+LmM/fcRDoe5cWliLCHmMMKjPkJQaCfukwY8peXpJGOfP4+PrZDjyZ/Uu2kDiR8CenasxEUBPLGvy4J+xapY5jvB75DgpiAvtUt1cTXqQyD40W5faPKxvPH3x8dLQef7m+GZAGbbHj3Dc4IdyFKx77mfEAP4w8F9yeEwwdMnk7tX4zCMWQMOPFFGwtxZoE3xhI6VlI7jIcK9Fnv356ibYGZeCZ2jzxMBWMxT6bIFtPi+OpNj/nrTVjQS5DT1rOjhhoVzZ4dXSsBFITXmwhRPtOgYbxYB1BTYm7uWSZF/koMX3XZWG1Bw/kis0VEbVIX4fUTH5bjbfMx2ctiK74CHkgXvEzSaU5R4rG5VLEigcNE72XzABJYjSuGIecqU6dw3m1H+0Hf+XVzfFuPzFxGE4/lqA/KaT1A//z3HTFZHFamcTi2d/gQq2nLwXiJxSB6Xe1IsRuqmcGgxEFvBqAC3QviifkbDlTBbWUq6YtYL3kqnhJR6YsVW55ok/ri3ViDju7woJwnY+J02gFMq+yyEzqbjEE9vqpCesv838zXeyq8lZ0v4mMP9OagvQ+uuM4TntZ/5xXmx7NfOhn84CNGy3WEiBMlBVY27NmCm/PTzRgpIPYxLkvRaC6QLeJKdquByjSVJMaoTQzs=,APVk2sUwhiAWnwbw7hgRl6GkL3Pfu7u1g4sw+LeD2T1id47PyMLVsUmzE8846rD4lxUnRHHgj8G84w1wc8jRScaVGAPrJAba3f4X8jWDN04X8OdEXD7I/YIwNKWApRERSKYfiuOJKZP8oFMQEOTUda2Ahb2Mbffw23EuVpUXzgrla5r+R3qzjOfAmav7qaY6SxxMyuj79P5E+Vj89Wgva6f7Q43KZU2mocNrb6OKAiidh85qE5Y1nC/4VWtpeZCM61Sfl3FrHMS/AYNsVluw5O99kcpvaqrPpslCvEWrqsfWS+1m/ZYWtmMhN9fSCRDFgJQs1bJys4AOJzs7CFT2hxSCeMO1dpVOygkdQ3rXsyWItX4rUK1VcBXPguAbLAg8HuBYO9ZZiQGqDv1+1cY6qWRNW4vyeXjbkDHazFPIT8LgjdEbGuwabTzvSbNJYXCWYC8liMNh4/MafjuYcmyBZ+clFMnr/bZVOQK8uA8wgWnDSL18q0j90w+hUxviFe0WLQc+Bf4IDJ6/J+mUf+qgJidhroBE00fROyhxBiLV7L22I33k0J02S6DWPtbRfJ+BrgSpaQGxkvUkNByPAompxFS8+TroO4c1lZamXdpn88PF4unbAFCVbfXIszBEDVfnF7VzMsNdT1v3ICNjH9Iq9PApDKz4ryD/axTFi76lFcQ=
"SAFCO Commercial Wire Shelving, Black","Monica Federle",643,-695.26,138.14,35,Nunavut,cP6qCGW1xPDYDbJVEqNwHAsHxv1QyTKw6K2RzUZfYKoctTq+mPK6oz2Y79jFuOPvrO0lVbVYwnyhrgw2wKUxB9O//Gwmko9JrtM5bPVxLZxaMBSVNVHIpLnP4TLn664ZfVtQMge+RzEOp4e5j3D7ROIEuHqnULSD2ms7xsUz12yJzu5i9W2wUb2ZKL87gcIalFG09iqhdICDac/NqYdKn0kKFvmQmXz2An2NKIWQLzoe0H+yt56Hh6UT8mUbzGDzsj21skMCI5j6giJ/mZXSmEI6laJO9dUl+QkgRqmZp9EURLLJvfuXRKKcg8OVs4t6MII+sOxZFKcBzEbuFE+0LDnMNN/pUa3D5uORgDEC2N3CpOrKiRq8lDpPAGuG4rFww4uNOWggc5dIDZyqy+6s6NPRubsuHLfOQHQnRurIuO4gdHnoEvBHqvjn11NZIaL77b095aZpIks9LNbmzHCODPTYmlkcE1OcIobvUSdYNOuT2FRhZ64y29b9MtZapRKQy6UgYOlOyBH/tFkz4YB5xP0aHRgDGYIEppFvyBhwrU2lqA6fXqCnu4DkHbOK+woa0rS8PAxZPovVXC1o+Jgz/8EhVONEQhx4XmCvZaVewSjBZxXbcfB/dgiG6oET/ZqKiyJmXXuTupW2HKqpRhFEZWIgCG3XHTUQsMeKRB6U4iA=,DFHlPN+tmx4YE+/mhUj+1eNHH867fk3YoYPqn+gi2gAz5Caqm0711RcSTsjuwABh68uENqlPszzv5Ha9QsNmGm8hKA7oTS2Rem0v+oVn33Um/6mGjLbQR6DgYfHOMZkYKkLHoq7Zj4BYhKQURpMHLnsE9ot3qw+AaHsX05VMK/jLePPFo2mKwu4XSNPdFanGFp4sgD9VZRbNLj1GBeRIDFDQFTPPBI5Zm0k2or8tx9S3CwuGGeJAYb7qQ4Md40bdGb6hQ2p4tJByeVW4J0aYTr8DMzaBrWs8HXPH0XGQRdIptWZS0jpZd/4cpoU4AvlxkJq2NX+2YunS/j7CEd+x87Mv7ig/rrz/4WpG4pRgvo6kolsXNOoV8DGIO94QWXzEXM9wK3Dx7hm1pu7prJe0bCWlJ4DxZMNFFbO97lT2Ez8GAd2gd+z24DbJ/UFRHc81piHv1Riyg2EE0X5egmCc9oQe4PN3vzWhMEDm8ObdogntImG8KMypJqhjyR34P/BzS41QHMmRm7BLg0T6+aAtyDzbUhK3J2k/XVSgQqNXYRSprcjL7DYth+Ml4P3xheFQS7zPTnC8YpStirv9vsVuw0Oub5jJdb9kbwJDVPZlJqWNvtPVtIQ7R+HgnOnGey4EA+z6r1cGm7CyUASu3WMMsUFIaKUBCdo5T4epSAPJflI=
"Xerox 198","Dorothy Badders",678,-226.36,4.98,8.33,Nunavut,xtXpG/YMXJAu2DEz9HGGgApSSzMxjZzzFTyITkjbhizxftMSml8VdeGNwhqYHhRv7c4T/uun1hOa7wgSwa3GDYBxvySgzitJhKow9uHytBIgOFqDpPvSe+WPUOqcpmSw21Y1VzaplDeauJY9R5yT+08jt8oY8KYo6f8D1fAZGD1aM0SkgcZQ/dXCwaMTrz9bhKvDRIdIEN5v0qbTzbcRc5jZuf4h3rMnUqMr4LiifJULYuJuT6XrDlK6Lb3AejlRDwom0yqqERzDCgACe7YaM9+A/INN3XSf9K4RFIoNyw68UBdfAHIUtkphHCCsh6mmzHPjNzHn9ZdbdfSbRzhVwPdKcB9E/lsjDq4YD/wPo6WbLJeYlY1jPgpl0bn82NZhJmKX6KdS9sh9gM1t0/CUVDT9AuvsfQryMqqaJzjYdigpiiCACGk/BZbZkqcg3utXWto8RegiqqvHEydnf59cShuWmywo5tv+Fsrl6/+jT8RQgh+2yuOri42L61/gkz0WcLk6uhgWThFpFC11wDJ+GBcl1z3N9+jWGNKtjBzkdZI9Ar/5TG0/PgslPxLA56V9XPl6OjeFNdZmNLVl5wi1NeATheEPr22fyDuDnvb4zk+wTIJ3iqhXx1fXylMJex5ix6qzY7Ip0Bl80ZNi9AhDxh5RBDF3Y1QSKjSm4AApMIA=,O+LtlhGWj2Vnfo1+Ls2D9TIAbugQSrOCWSsQHDuK98lYy+vg6ePDpj9ntMM9PJv7VCC1y2oGUHovJzvwEayKgSjCyeKJLPLElLJNXrfW5evCGYZyprNmwmsAL921DlzElj3rZ2FN0WSZqZiBkcPNUDbrFonoV3CsZLUem9GDVQdG+fOx5YLjZ7ahgYEtTRny4zpUeEmCO/d6CqegSPM45ZSTfFmNTMBr4X1fpsvR3OwoTObosNmDCjN6b6I0Sldzkw0hSVmERsQ529gHssqa5Ror4phT4BSKAszI+ecpV8/wakVE0qcwqseRtgOHb8ae1wuBfpSK0EY5VA6t8x46GoV0J9mzHfTvdOGLgWgbFElhAWw+xXG6Qs03oMUT8kzW6yS/jIhG/zkXlxfqOSfleGSoYZha0HSG4tCeha6MVrTzGzdlp1sT5WCX6l+7FtzQje/8wFPV7DQZGWLR8kTHF7evMqFpQ9xnWF6dLjvwirjWoKV/7Gt9ZUAAIVfdndPwKKR2lvzSZcKbxvxtrMWEKt/8WBOV9edl1FYr/VdhjVJC33YtD2SUJ6txM6xfwJSnNJnmVojeYznk91YtKUChjUzI8BnS6CpleeB4TTAyRkLyA2l/BlwZGNt2fogKL8eIkcIzQK2Um6Hmlo7wkSIb7TPKeJNHGMNxByRdU6fa8Gg=
