TASK,NAME,EMAIL,STATUS,CREATED_AT,UPDATED_AT,DELETED_AT,FILED1,FILED2
"Eldon Base for stackable storage shelf, platinum","Muhammed MacIntyre",3,-213.25,38.94,35,Nunavut,de6eebba8b358e387e7032b5521df284f5c1e11933d2401f8d80ac20b9019959,de6eebba8b358e387e7032b5521df284f5c1e11933d2401f8d80ac20b9019959
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Barry French",293,457.81,208.16,68.02,Nunavut,4af2eed658e54ce360fe742a9599b7b2249537404e9af08622d21328eaf0d963,4af2eed658e54ce360fe742a9599b7b2249537404e9af08622d21328eaf0d963
"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl","Barry French",293,46.71,8.69,2.99,Nunavut,dccd1da1f0f549c559c806d5bca87fdf6377d466242588f474ecf562426a6c06,dccd1da1f0f549c559c806d5bca87fdf6377d466242588f474ecf562426a6c06
R380,"Clay Rozendal",483,1198.97,195.99,3.99,Nunavut,66403483ea36281191dd1e6f229612222ab7a2fa7b6816189bf44fa47e184593,66403483ea36281191dd1e6f229612222ab7a2fa7b6816189bf44fa47e184593
"Holmes HEPA Air Purifier","Carlos Soltero",515,30.94,21.78,5.94,Nunavut,e9fe4da500a6985de5590b10e21f1dc651f938e20b52067aaab76175d2fe9195,e9fe4da500a6985de5590b10e21f1dc651f938e20b52067aaab76175d2fe9195
"G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Carlos Soltero",515,4.43,6.64,4.95,Nunavut,9c5cdb767ea931840502f949cec42128cf0356103ebbd889ee0ae61cc5a65555,9c5cdb767ea931840502f949cec42128cf0356103ebbd889ee0ae61cc5a65555
"Angle-D Binders with Locking Rings, Label Holders","Carl Jackson",613,-54.04,7.3,7.72,Nunavut,5cf3b732ab7dc6e96c77a14968dce199325839bba608da96aaa695f9fbb604bd,5cf3b732ab7dc6e96c77a14968dce199325839bba608da96aaa695f9fbb604bd
"SAFCO Mobile Desk Side File, Wire Frame","Carl Jackson",613,127.7,42.76,6.22,Nunavut,ddb2a9dbaecfacf2c4763ecbe4e18ee362400d56840eacb6be154e2b67c574ae,ddb2a9dbaecfacf2c4763ecbe4e18ee362400d56840eacb6be154e2b67c574ae
"SAFCO Commercial Wire Shelving, Black","Monica Federle",643,-695.26,138.14,35,Nunavut,f90c1685829b3fa02156bf5c471ff946f0ac8af7dfbd893b2537082bdec3136c,f90c1685829b3fa02156bf5c471ff946f0ac8af7dfbd893b2537082bdec3136c
"Xerox 198","Dorothy Badders",678,-226.36,4.98,8.33,Nunavut,22544562db6f8d8e135d49062d30c2d11634937c3d1cd762bdc9621c713b826f,22544562db6f8d8e135d49062d30c2d11634937c3d1cd762bdc9621c713b826f
