TASK,NAME,EMAIL,STAT…,CREA…,UPDA…,DELE…,FILE…,FILE…
Eldo…,Muha…,3,-213…,38.94,35,Nuna…,Stor…,0.8
1.7…,Barr…,293,457.…,208.…,68.02,Nuna…,Appl…,0.58
Card…,Barr…,293,46.71,8.69,2.99,Nuna…,Bind…,0.39
R380,Clay…,483,1198…,195.…,3.99,Nuna…,Tele…,0.58
Holm…,Carl…,515,30.94,21.78,5.94,Nuna…,Appl…,0.5
G.E.…,Carl…,515,4.43,6.64,4.95,Nuna…,Offi…,0.37
Angl…,Carl…,613,-54.…,7.3,7.72,Nuna…,Bind…,0.38
SAFC…,Carl…,613,127.7,42.76,6.22,Nuna…,Stor…,
SAFC…,Moni…,643,-695…,138.…,35,Nuna…,Stor…,
Xero…,Doro…,678,-226…,4.98,8.33,Nuna…,Paper,0.38
Xero…,Neol…,807,-166…,4.28,6.18,Nuna…,Paper,0.4
Adva…,Neol…,807,-14.…,3.95,2,Nuna…,Rubb…,0.53
Holm…,Carl…,868,134.…,21.78,5.94,Nuna…,Appl…,0.5
DS/H…,Carl…,868,114.…,47.98,3.61,Nuna…,Comp…,0.71
Wils…,Clau…,933,-4.72,5.28,2.99,Nuna…,Bind…,0.37
Ultr…,Neol…,995,782.…,39.89,3.04,Nuna…,Offi…,0.53
#10-…,Alle…,998,93.8,15.74,1.39,Nuna…,Enve…,0.4
Hon…,Sylv…,1154,440.…,100.…,26.22,Nuna…,Book…,0.6
Lesr…,Sylv…,1154,-481…,71.37,69,Nuna…,Tabl…,0.68
g520,Jim…,1344,-11.…,65.99,5.26,Nuna…,Tele…,0.59
"LX 7…",Jim…,1344,313.…,155.…,8.99,Nuna…,Tele…,0.58
Aver…,Carl…,1412,26.92,3.69,0.5,Nuna…,Labe…,0.38
Plym…,Carl…,1412,-5.77,4.71,0.7,Nuna…,Rubb…,0.8
GBC…,Carl…,1539,-172…,15.99,13.18,Nuna…,Bind…,0.37
Maxe…,Carl…,1539,-144…,4.89,4.93,Nuna…,Comp…,0.66
Newe…,Don…,1540,5.76,2.88,0.7,Nuna…,Pens…,0.56
SANF…,Anni…,1702,4.9,2.84,0.93,Nuna…,Pens…,0.54
Cano…,Carl…,1761,-547…,449.…,49,Nuna…,Copi…,0.38
Tene…,Carl…,1792,-5.45,13.48,4.51,Nuna…,Stor…,0.59
Col-…,Gran…,2275,41.67,6.08,1.17,Nuna…,Pens…,0.56
Imat…,Don…,2277,-46.…,5.98,4.38,Nuna…,Comp…,0.75
Whit…,Don…,2277,33.67,40.99,19.99,Nuna…,Paper,0.36
Self…,Alan…,2532,140.…,7.31,0.49,Nuna…,Labe…,0.38
Acce…,Alan…,2532,-78.…,20.99,2.5,Nuna…,Tele…,0.81
Fuji…,Jack…,2631,252.…,40.96,1.99,Nuna…,Comp…,0.55
Bevi…,Juli…,2757,-176…,95.95,74.35,Nuna…,Chai…,0.57
Aver…,Euge…,2791,-236…,3.89,7.01,Nuna…,Bind…,0.37
Hon…,Euge…,2791,80.44,120.…,30,Nuna…,Chai…,0.64
IBM…,Euge…,2791,118.…,30.98,5.76,Nuna…,Paper,0.4
Glob…,Edwa…,2976,3424…,500.…,26,Nuna…,Chai…,0.6
Xtra…,Brad…,3232,-11.…,7.84,4.71,Nuna…,Bind…,0.35
Comp…,Nico…,3524,52.35,18.97,9.03,Nuna…,Paper,0.37
6160,Doro…,3908,-180…,115.…,2.5,Nuna…,Tele…,0.57
Aver…,Aaro…,4132,1.32,2.88,0.5,Nuna…,Labe…,0.36
Hoov…,Jim…,4612,-375…,4.48,49,Nuna…,Appl…,0.6
Time…,Anni…,4676,-104…,125.…,7.69,Nuna…,Tele…,0.58
Aver…,Anni…,4676,85.96,3.75,0.5,Nuna…,Labe…,0.37
Xero…,Anni…,4676,-8.38,12.28,6.47,Nuna…,Paper,0.38
"LX 7…",Anni…,4676,1115…,155.…,8.99,Nuna…,Tele…,0.58
Card…,Anni…,5284,-3.05,8.69,2.99,Nuna…,Bind…,0.39
Memo…,Clay…,5316,514.…,31.78,1.99,Nuna…,Comp…,0.42
Unpa…,Don…,5409,-7.04,3.98,2.97,Nuna…,Paper,0.35
Adam…,Beth…,5506,4.41,5.88,3.04,Nuna…,Paper,0.36
Eldo…,Fran…,5569,-0.06,9.65,6.22,Nuna…,Offi…,0.55
Bell…,Mich…,5607,-50.…,7.99,5.03,Nuna…,Tele…,0.6
Aver…,Ann…,5894,87.68,58.1,1.49,Nuna…,Bind…,0.38
APC…,Ann…,5894,-68.…,80.48,4.5,Nuna…,Appl…,0.55
Defl…,Joy…,5925,-354…,92.23,39.61,Nuna…,Offi…,0.67
Acce…,Joy…,5925,-267…,85.99,0.99,Nuna…,Tele…,0.85
Pers…,Skye…,6016,3.63,11.48,5.43,Nuna…,Paper,0.36
High…,Barr…,6116,-175…,1637…,24.49,Nuna…,Scis…,0.81
Xero…,Gran…,6182,-116…,6.48,6.65,Nuna…,Paper,0.36
Xero…,Gran…,6182,-67.…,6.48,7.86,Nuna…,Paper,0.37
Bost…,Adri…,6535,-19.…,28.15,8.99,Nuna…,Pens…,0.57
Hamm…,Skye…,6884,-61.…,4.98,4.75,Nuna…,Paper,0.36
Tele…,Skye…,6884,119.…,6.35,1.02,Nuna…,Paper,0.39
Crat…,Andr…,6916,-141…,10.9,7.46,Nuna…,Stor…,0.59
Angl…,Ralp…,6980,-77.…,7.3,7.72,Nuna…,Bind…,0.38
"80 M…",Doro…,6982,407.…,39.48,1.99,Nuna…,Comp…,0.54
Bush…,Doro…,6982,-338…,100.…,57.38,Nuna…,Book…,0.78
12-1…,Doro…,6982,52.56,19.98,10.49,Nuna…,Offi…,0.49
SAFC…,Gran…,7110,1902…,276.2,24.49,Nuna…,Chai…,
#10…,Barr…,7430,353.2,15.67,1.39,Nuna…,Enve…,0.38
"3M O…",Beth…,7906,271.…,25.98,5.37,Nuna…,Appl…,0.5
Glob…,Sylv…,8391,-268…,300.…,64.73,Nuna…,Chai…,0.56
Xero…,Nico…,8419,70.39,19.98,5.97,Nuna…,Paper,0.38
Xero…,Nico…,8419,-86.…,6.48,7.03,Nuna…,Paper,0.37
Cari…,Nico…,8833,-846…,80.98,35,Nuna…,Stor…,0.81
Stap…,Beth…,8995,8.05,1.88,1.49,Nuna…,Bind…,0.37
Xero…,Beth…,8995,-78.…,6.48,5.86,Nort…,Paper,0.36
Luxo…,Beth…,8995,737.…,102.3,21.26,Nort…,Offi…,0.59
Xero…,Beth…,8995,-191…,6.48,8.19,Nort…,Paper,0.37
Reve…,Beth…,8995,-21.…,1.89,0.76,Nort…,Rubb…,0.83
Acco…,Sylv…,9126,884.…,62.05,3.99,Nort…,Appl…,0.55
Tenn…,Brya…,9127,-329…,279.…,35,Nort…,Stor…,0.8
Hon…,Joy…,9509,2825…,320.…,58.95,Nort…,Chai…,0.57
Xero…,Joy…,9509,2.13,18.97,5.21,Nort…,Paper,0.37
Xero…,Joy…,9509,707.…,48.91,5.81,Nort…,Paper,0.38
Aver…,Alan…,9763,75.13,4.13,0.5,Nort…,Labe…,0.39
Bush…,Gran…,9927,-270…,140.…,53.48,Nort…,Book…,0.65
Life…,Gran…,9927,3387…,218.…,18.06,Nort…,Chai…,0.57
Micr…,Gran…,9927,-82.…,50.98,6.5,Nort…,Comp…,0.73
Stap…,Delf…,10022,-3.88,10.14,2.27,Nort…,Paper,0.36
GBC…,Don…,10437,-191…,15.99,13.18,Nort…,Bind…,0.37
Bevi…,Doug…,10499,31.21,262.…,62.74,Nort…,Tabl…,0.75
Lind…,Doug…,10535,-44.…,33.98,19.99,Nort…,Offi…,0.55
Newe…,Doug…,10535,-0.79,1.76,0.7,Nort…,Pens…,0.56
Pris…,Jami…,10789,76.42,19.84,4.1,Nort…,Pens…,0.44
Xero…,Anth…,10791,93.36,19.98,5.77,Nort…,Paper,0.38
600…,Ralp…,10945,4.22,95.99,8.99,Nort…,Tele…,0.57
Fell…,Alle…,11137,395.…,111.…,8.64,Nort…,Stor…,0.78
Sate…,Barr…,11202,79.59,43.41,2.99,Nort…,Bind…,0.39
Defl…,Doug…,11456,399.…,105.…,24.49,Nort…,Offi…,0.61
Aver…,Carl…,11460,37.79,3.69,0.5,Nort…,Labe…,0.38
Bevi…,Bren…,11495,-144…,146.…,43.75,Nort…,Tabl…,0.65
GBC…,Edwa…,11911,-14.…,15.22,9.73,Nort…,Bind…,0.36
Hang…,Jami…,11941,-41.…,15.7,11.25,Nort…,Stor…,0.6
Bevi…,Jami…,11941,111.…,179.…,29.21,Nort…,Tabl…,0.74
5125,Mich…,12096,2332…,200.…,8.08,Nort…,Tele…,0.59
Elec…,Mich…,12096,2176…,194.3,11.54,Nort…,Offi…,0.59
Cano…,Bren…,12289,1269…,120.…,7.11,Nort…,Offi…,0.36
Fell…,Hunt…,12352,-32.…,5.81,8.49,Nort…,Bind…,0.39
Poly…,Sylv…,12419,5322…,1938…,13.99,Nort…,Offi…,0.38
Hon…,Euge…,12485,1068…,226.…,28.16,Nort…,Chai…,0.59
Eldo…,Jim…,12544,-129…,2.08,5.33,Nort…,Offi…,0.43
Shar…,Carl…,12704,1260…,499.…,24.49,Nort…,Copi…,0.36
Tenn…,Carl…,12704,-127…,20.98,53.03,Nort…,Stor…,0.78
Aver…,Carl…,12771,-193…,30.53,19.99,Nort…,Labe…,0.39
Newe…,Carl…,12771,-43.1,1.68,1.57,Nort…,Pens…,0.59
Glob…,Jim…,12929,-158…,270.…,50,Nort…,Chai…,0.77
Spir…,Jim…,12929,29.68,4.48,1.22,Nort…,Paper,0.36
Crat…,Gran…,13280,-116…,10.9,7.46,Nort…,Stor…,0.59
Bell…,Gran…,13280,-160…,7.99,5.03,Nort…,Tele…,0.6
Holm…,Skye…,13313,-209…,21.66,13.99,Nort…,Appl…,0.52
Xero…,Doug…,13346,-240…,6.48,8.88,Nort…,Paper,0.37
Xero…,Gran…,13702,12.32,35.44,7.5,Nort…,Paper,0.38
GBC…,Muha…,13795,-119…,15.99,13.18,Nort…,Bind…,0.37
Xero…,Muha…,13795,43.35,11.34,5.01,Nort…,Paper,0.36
